#group,false,false,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_time,_value,BatCarrier,BatSenKey,BatValid,_field,_measurement,host
,,0,2021-09-24T10:29:21.928Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T10:34:22.466Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T10:39:22.992Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T10:44:23.683Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T10:49:24.199Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T10:54:24.72Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T10:59:25.247Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:04:25.864Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:09:26.388Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:14:27.032Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:19:27.687Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:24:28.203Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:29:28.735Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:34:29.311Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:39:30.409Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:44:30.944Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:49:35.681Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:54:36.36Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T11:59:36.904Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:04:37.555Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:09:38.211Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:14:38.744Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:19:39.266Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:24:39.791Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:29:40.313Z,4.1193,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:34:40.846Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:39:41.344Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:44:41.819Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:49:42.356Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:54:42.782Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T12:59:43.3Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:04:43.956Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:09:44.498Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:14:45.514Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:19:46.044Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:24:53.238Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:29:53.885Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:32:53.538Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:35:33.162Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:35:33.598Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:40:34.149Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:45:35.555Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:50:36.208Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T13:55:36.853Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:00:37.372Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:05:38.026Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:10:38.549Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:15:39.488Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:20:40.011Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:25:40.518Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:30:41.128Z,4.1193,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:35:41.704Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:40:42.234Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:45:43.095Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:50:43.602Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T14:55:44.284Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:00:44.812Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:05:45.465Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:10:45.992Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:15:46.522Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:20:47.074Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:25:47.737Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:30:48.391Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:35:48.94Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:40:49.464Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:45:50.097Z,4.1193,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:50:50.608Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T15:55:51.131Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:00:51.653Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:05:52.417Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:10:53.077Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:15:53.611Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:20:54.141Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:25:54.657Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:30:55.198Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:35:55.857Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:40:56.5Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:45:57.016Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:50:58.167Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:55:58.857Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:59:17.353Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T16:59:17.781Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:00:36.128Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:05:36.652Z,4.1198,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:10:37.177Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:15:37.736Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:20:38.757Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:25:39.29Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:30:39.781Z,4.1214,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:35:40.31Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:40:40.843Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:45:41.395Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:50:41.932Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T17:55:42.458Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:00:42.985Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:05:43.644Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:10:44.17Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:15:44.687Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:20:45.218Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:25:45.731Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:30:46.402Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:35:46.927Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:40:48.06Z,4.1204,labjack,0,true,BatDecimal,rpi,spongebob
,,0,2021-09-24T18:45:48.847Z,4.1209,labjack,0,true,BatDecimal,rpi,spongebob
